Amount Received,Amount Paid,Payment Format,Year,Month
319.53,399.31,Credit Card,2023,6
386.08,172.08,Cash,2022,3
341.11,255.61,Bank Transfer,2022,7
317.95,115.04,Cash,2023,9
269.46,104.72,Cash,2021,2
358.36,498.51,Credit Card,2022,6
275.03,295.28,Cash,2021,11
456.71,248.81,Bank Transfer,2023,8
485.47,178.47,Cash,2022,8
253.38,422.88,Debit Card,2021,3
416.69,382.3,Credit Card,2021,1
311.56,100.62,Cash,2022,7
327.22,408.49,Credit Card,2021,8
470.24,144.59,Bank Transfer,2022,8
128.41,479.45,Debit Card,2023,8
134.85,233.09,Credit Card,2021,5
108.09,280.44,Credit Card,2022,3
433.05,101.99,Cash,2023,7
411.26,429.76,Bank Transfer,2022,4
448.0,223.27,Cash,2023,1
491.45,322.58,Bank Transfer,2023,8
419.66,470.64,Debit Card,2022,8
284.59,162.49,Debit Card,2022,10
412.21,446.93,Bank Transfer,2023,3
147.31,300.1,Credit Card,2023,6
355.97,469.78,Debit Card,2022,2
157.34,428.94,Bank Transfer,2023,12
477.87,277.19,Credit Card,2022,3
308.74,135.48,Bank Transfer,2021,10
265.86,112.08,Bank Transfer,2023,1
205.82,449.69,Credit Card,2021,7
409.69,289.71,Debit Card,2022,3
282.46,365.48,Bank Transfer,2023,12
327.37,452.66,Credit Card,2021,1
107.52,221.86,Cash,2023,2
347.05,458.31,Debit Card,2023,11
344.84,111.01,Debit Card,2022,10
346.77,211.97,Bank Transfer,2022,2
477.5,424.71,Debit Card,2021,12
372.73,441.29,Credit Card,2021,2
243.8,477.93,Credit Card,2021,3
274.81,221.2,Bank Transfer,2023,10
379.05,412.09,Bank Transfer,2022,5
124.09,494.05,Cash,2022,11
366.71,310.8,Bank Transfer,2022,12
368.26,201.04,Bank Transfer,2022,1
184.15,115.58,Bank Transfer,2022,6
151.57,403.86,Debit Card,2023,7
226.17,155.54,Debit Card,2022,10
245.48,254.78,Credit Card,2023,9
328.08,223.71,Credit Card,2021,6
275.44,266.74,Bank Transfer,2022,11
495.35,462.4,Credit Card,2021,2
140.82,270.38,Bank Transfer,2022,3
183.55,465.1,Cash,2023,8
164.52,422.16,Cash,2021,10
361.24,215.35,Debit Card,2022,8
201.32,227.24,Credit Card,2021,10
286.52,247.94,Debit Card,2022,3
197.77,342.26,Credit Card,2023,4
163.59,369.63,Bank Transfer,2023,9
144.15,488.89,Credit Card,2023,8
362.53,470.61,Credit Card,2022,1
155.27,344.75,Bank Transfer,2022,6
178.63,118.5,Cash,2022,5
247.49,318.12,Bank Transfer,2023,7
428.4,261.46,Bank Transfer,2022,1
138.84,317.91,Cash,2022,7
435.18,116.07,Debit Card,2023,9
138.44,498.3,Bank Transfer,2021,12
490.58,122.78,Cash,2021,9
287.46,209.07,Cash,2021,10
490.7,128.85,Cash,2023,2
341.94,319.04,Debit Card,2023,1
395.71,240.73,Bank Transfer,2023,2
115.68,250.12,Cash,2022,6
213.12,415.67,Cash,2021,2
148.08,461.61,Credit Card,2021,11
218.46,166.28,Bank Transfer,2022,10
147.49,211.59,Credit Card,2023,3
227.19,289.09,Credit Card,2021,5
265.71,145.15,Bank Transfer,2021,3
125.66,254.62,Bank Transfer,2021,5
376.99,220.84,Credit Card,2022,4
326.64,468.79,Cash,2023,7
206.16,179.41,Debit Card,2023,12
309.3,388.48,Cash,2023,9
137.58,186.36,Cash,2022,8
330.38,350.26,Cash,2022,6
471.72,332.8,Credit Card,2021,9
227.43,283.49,Cash,2021,5
366.96,426.76,Credit Card,2023,6
152.72,189.09,Debit Card,2021,12
386.53,290.91,Debit Card,2022,10
215.76,492.97,Bank Transfer,2021,10
173.28,173.3,Cash,2023,5
334.61,318.17,Cash,2021,1
108.04,217.24,Cash,2021,8
431.58,149.52,Bank Transfer,2023,3
101.88,440.64,Bank Transfer,2021,8
371.13,331.07,Debit Card,2022,11
208.0,331.53,Credit Card,2022,8
394.08,318.13,Bank Transfer,2022,10
484.88,173.79,Bank Transfer,2023,10
199.5,327.45,Debit Card,2021,3
330.46,136.56,Bank Transfer,2023,8
336.82,373.06,Debit Card,2023,11
328.9,120.58,Debit Card,2021,6
189.23,175.66,Debit Card,2022,4
481.1,217.69,Bank Transfer,2022,12
278.85,211.57,Credit Card,2022,10
438.56,424.84,Debit Card,2022,3
379.79,215.1,Debit Card,2023,10
218.97,129.58,Credit Card,2023,2
425.52,127.19,Debit Card,2022,2
258.6,159.77,Credit Card,2023,5
452.44,257.68,Credit Card,2022,2
332.51,178.73,Debit Card,2021,6
452.69,194.01,Cash,2023,3
377.01,173.59,Credit Card,2021,5
390.1,219.49,Cash,2021,6
300.53,301.94,Bank Transfer,2022,5
482.43,488.54,Credit Card,2022,10
357.6,416.8,Bank Transfer,2021,1
269.54,169.01,Bank Transfer,2021,1
342.56,421.14,Debit Card,2022,12
107.68,384.04,Debit Card,2021,3
220.63,462.32,Debit Card,2023,9
364.07,273.88,Bank Transfer,2023,12
216.03,446.84,Bank Transfer,2023,10
347.21,379.24,Debit Card,2023,2
271.51,209.24,Bank Transfer,2021,7
154.19,255.91,Debit Card,2021,3
219.31,435.39,Credit Card,2021,11
327.99,423.08,Debit Card,2022,8
336.35,198.2,Cash,2021,7
329.73,434.51,Cash,2021,11
361.28,478.3,Cash,2022,3
360.84,451.11,Bank Transfer,2022,5
272.57,252.52,Credit Card,2023,11
458.62,316.46,Bank Transfer,2022,12
247.02,438.38,Bank Transfer,2022,4
274.35,386.56,Bank Transfer,2021,3
456.77,383.64,Cash,2022,6
422.48,214.1,Credit Card,2023,2
381.56,344.32,Credit Card,2021,11
140.09,121.78,Bank Transfer,2023,4
467.79,218.86,Bank Transfer,2021,7
385.7,181.12,Cash,2022,2
499.54,254.81,Bank Transfer,2022,12
159.78,395.29,Bank Transfer,2021,11
447.25,204.22,Credit Card,2023,1
165.0,171.57,Debit Card,2021,12
346.22,436.81,Credit Card,2021,2
149.53,466.04,Credit Card,2022,9
439.2,278.49,Debit Card,2022,4
422.93,197.8,Debit Card,2022,10
327.64,200.95,Bank Transfer,2023,4
262.87,266.47,Credit Card,2021,4
127.67,420.98,Credit Card,2022,1
378.97,324.59,Credit Card,2021,5
281.42,330.93,Cash,2022,4
388.82,491.26,Cash,2021,6
446.55,131.07,Credit Card,2022,4
490.21,290.01,Cash,2021,3
